You entered a buffer length of 20
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
-0.045596, 0.798816, -0.466276, -0.056125, 0.610773, -0.680309, 0.014955, 0.390954, 0.029238, -0.098456, 0.390954, -0.787585
0.003235, 0.818104, -0.477385, -0.062028, 0.584502, -0.705317, 0.014955, 0.273393, 0.029238, -0.163645, 0.273393, -0.966429
-0.044497, 0.904535, -0.476164, -0.062992, 0.554440, -0.731051, 0.014955, 0.216871, 0.029238, -0.016053, 0.216871, -0.992065
-0.049503, 0.869377, -0.492401, -0.064201, 0.522694, -0.757126, 0.014955, 0.269609, 0.029238, -0.068669, 0.269609, -0.997681
-0.044131, 0.794787, -0.545993, -0.065782, 0.486584, -0.783898, 0.014955, 0.147165, 0.029238, -0.081121, 0.147165, -1.027834
-0.057804, 0.728987, -0.563328, -0.067662, 0.450033, -0.808906, 0.014955, 0.063786, 0.029238, -0.081731, 0.063786, -1.046145
-0.044619, 0.746689, -0.585912, -0.068150, 0.416657, -0.833309, 0.014955, 0.061466, 0.029238, -0.067570, 0.061466, -1.051395
-0.054019, 0.719587, -0.591772, -0.069358, 0.384887, -0.855179, 0.014955, 0.111274, 0.029238, -0.068791, 0.111274, -1.023317
-0.099310, 0.667094, -0.742782, -0.069682, 0.355857, -0.874797, 0.014955, 0.138986, 0.029238, -0.060490, 0.138986, -0.984130
-0.064884, 0.599463, -0.710676, -0.066783, 0.327663, -0.887841, 0.014955, 0.103217, 0.029238, -0.041323, 0.103217, -1.003662
-0.102118, 0.673930, -0.772325, -0.068669, 0.302283, -0.902820, 0.014955, 0.091864, 0.029238, -0.102606, 0.091864, -1.010255
-0.059147, 0.652689, -0.653421, -0.066300, 0.272551, -0.917482, 0.014955, 0.079290, 0.029238, -0.054752, 0.079290, -1.065556
-0.047793, 0.641335, -0.714094, -0.064994, 0.243716, -0.938113, 0.014955, 0.075993, 0.029238, -0.033022, 0.075993, -1.066044
