You entered a buffer length of 100
gx, gy, gz, xavg, yavg, zavg, xmax, ymax, zmax, zmin, ymin, zmin
0.002136, 0.057804, -0.983886, -0.036881, 0.472772, -0.310082, 0.013123, 0.140450, 1.015138, -0.114936, 0.140450, 1.015138
-0.020814, 0.008362, -0.999390, -0.037978, 0.472340, -0.290173, 0.013123, 0.014588, 1.007081, -0.107612, 0.014588, 1.007081
-0.064030, -0.022157, -1.013184, -0.039130, 0.472579, -0.269826, 0.013123, 0.032290, 1.035280, -0.135934, 0.032290, 1.035280
-0.018617, -0.084417, -1.012696, -0.039764, 0.472758, -0.249608, 0.013123, 0.032290, 1.008667, -0.127510, -0.004212, 1.008667
-0.057682, -0.068547, -1.037234, -0.040499, 0.473247, -0.229462, 0.013123, 0.032290, 1.001831, -0.092108, -0.035586, 1.001831
-0.071599, -0.096014, -1.021608, -0.040979, 0.472823, -0.208520, 0.013123, 0.032290, 1.057010, -0.105658, -0.110908, 1.057010
-0.067936, -0.142892, -1.060795, -0.041915, 0.472905, -0.188246, 0.013123, 0.032290, 1.005738, -0.165232, -0.087835, 1.005738
-0.073796, -0.133370, -1.061527, -0.043021, 0.473321, -0.167525, 0.013123, 0.032290, 1.011353, -0.178539, -0.101264, 1.011353
-0.053775, -0.103339, -1.033449, -0.043898, 0.473258, -0.146667, 0.013123, 0.032290, 1.024293, -0.161448, -0.139718, 1.024293
-0.054996, -0.089422, -0.999145, -0.044800, 0.472630, -0.126833, 0.013123, 0.032290, 0.949948, -0.143991, -0.166087, 0.949948
-0.056583, -0.052310, -1.047000, -0.045586, 0.471693, -0.107137, 0.013123, 0.032290, 0.970457, -0.133614, -0.183178, 0.970457
-0.060856, -0.088323, -1.019655, -0.046148, 0.470352, -0.086265, 0.013123, 0.032290, 1.040164, -0.112739, -0.186352, 1.040164
-0.066960, -0.143502, -1.045169, -0.046653, 0.469326, -0.065310, 0.013123, 0.032290, 1.075810, -0.111396, -0.190991, 1.075810
